fecha,estacion,cape,cins
 19 Oct 2015, 72440, 0.00, 0.00
 20 Oct 2015, 72440, 0.00, 0.00
 21 Oct 2015, 72440, 0.00, 0.00
 22 Oct 2015, 72440, 0.00, 0.00
 23 Oct 2015, 72440, 0.00, 0.00
 24 Oct 2015, 72440, 0.00, 0.00
 25 Oct 2015, 72440, 0.00, 0.00
 26 Oct 2015, 72440, 0.00, 0.00
 27 Oct 2015, 72440, 0.00, 0.00
 28 Oct 2015, 72440, 0.84, 0.00
 29 Oct 2015, 72440, 0.00, 0.00
 30 Oct 2015, 72440, 0.00, 0.00
 31 Oct 2015, 72440, 0.00, 0.00
 01 Nov 2015, 72440, 0.00, 0.00
 02 Nov 2015, 72440, 0.00, 0.00
 03 Nov 2015, 72440, 0.00, 0.00
 04 Nov 2015, 72440, 0.00, 0.00
 05 Nov 2015, 72440, 0.00, 0.00
 06 Nov 2015, 72440, 0.00, 0.00
 07 Nov 2015, 72440, 0.00, 0.00
 08 Nov 2015, 72440, 0.00, 0.00
 09 Nov 2015, 72440, 0.00, 0.00
 10 Nov 2015, 72440, 0.00, 0.00
 11 Nov 2015, 72440, 0.00, 0.00
 12 Nov 2015, 72440, 0.00, 0.00
 13 Nov 2015, 72440, 0.00, 0.00
 14 Nov 2015, 72440, 0.00, 0.00
 15 Nov 2015, 72440, 0.00, 0.00
 16 Nov 2015, 72440, 0.00, 0.00
 17 Nov 2015, 72440, 82.22, -136.51
 18 Nov 2015, 72440, 0.00, 0.00
 19 Nov 2015, 72440, 0.00, 0.00
 20 Nov 2015, 72440, 0.00, 0.00
 21 Nov 2015, 72440, 0.60, 0.00
 22 Nov 2015, 72440, 0.00, 0.00
 23 Nov 2015, 72440, 0.00, 0.00
 24 Nov 2015, 72440, 0.00, 0.00
 25 Nov 2015, 72440, 0.00, 0.00
 26 Nov 2015, 72440, 0.00, 0.00
 27 Nov 2015, 72440, 0.00, 0.00
 28 Nov 2015, 72440, 0.00, 0.00
 29 Nov 2015, 72440, 0.00, 0.00
 30 Nov 2015, 72440, 0.00, 0.00
 01 Dec 2015, 72440, 0.00, 0.00
 02 Dec 2015, 72440, 0.00, 0.00
 03 Dec 2015, 72440, 0.00, 0.00
 04 Dec 2015, 72440, 0.00, 0.00
 05 Dec 2015, 72440, 0.00, 0.00
 06 Dec 2015, 72440, 0.00, 0.00
 07 Dec 2015, 72440, 0.00, 0.00
 08 Dec 2015, 72440, 0.00, 0.00
 09 Dec 2015, 72440, 0.00, 0.00
 10 Dec 2015, 72440, 0.00, 0.00
 11 Dec 2015, 72440, 0.00, 0.00
 12 Dec 2015, 72440, 31.09, -237.15
 13 Dec 2015, 72440, 0.00, 0.00
 14 Dec 2015, 72440, 4.17, -0.27
 15 Dec 2015, 72440, 0.00, 0.00
 16 Dec 2015, 72440, 0.00, 0.00
 17 Dec 2015, 72440, 0.00, 0.00
 18 Dec 2015, 72440, 0.00, 0.00
 19 Dec 2015, 72440, 0.00, 0.00
 20 Dec 2015, 72440, 0.00, 0.00
 21 Dec 2015, 72440, 52.76, -3.59
 22 Dec 2015, 72440, 0.00, 0.00
 23 Dec 2015, 72440, 6.74, -248.86
 24 Dec 2015, 72440, 0.00, 0.00
 25 Dec 2015, 72440, 0.00, 0.00
 26 Dec 2015, 72440, 0.00, 0.00
 27 Dec 2015, 72440, 0.00, 0.00
 28 Dec 2015, 72440, 0.00, 0.00
 29 Dec 2015, 72440, 0.00, 0.00
 30 Dec 2015, 72440, 0.00, 0.00
 31 Dec 2015, 72440, 0.00, 0.00
